category,Nordestão,Favorito,Carrefour,Bom dia,Super Show,Rede Mais,Rede Mais Select
38 (Set/2024),98.19,95.19,111.23,96.91,97.3,97.61,103.28
39 (Set/2024),99.09,95.01,110.37,97.24,97.83,98.07,102.15
40 (Out/2024),100.74,94.14,109.53999999999999,95.88,96.57,99.1,102.93
41 (Out/2024),99.03,95.3,110.03,96.31,97.58,98.27,102.33
42 (Out/2024),99.96,98.66,105.15,96.61,96.43,100.38,102.61
43 (Out/2024),99.34,100.75,104.95,95.85,97.47,98.46,102.82
44 (Out/2024),101.97,99.78,102.25,94.03,99.03,97.98,103.6
45 (Nov/2024),,,,,,,
